Handle,Timestamp,Content,Comments,Retweets,Likes
@binance,2023-10-04T12:57:04.000Z,"Take the stress out of trading with the Spot DCA Bot on #BinanceBenefit from volatility by automating your buys at low prices, and selling at predetermined points.

Try it today  https://app.binance.com/en/trading-bots/spot/dca-bot/BTCUSDT?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",257,280,964
@cz_binance,2023-10-04T14:17:12.000Z,"#Binance Feed will open to all content creators soon, too. Ie, all users can create content.",850,697,3.5K
@cz_binance,2023-10-04T12:45:18.000Z,Troll and earn.,638,500,2.5K
@binance,2023-10-03T12:01:47.000Z,"Explore #Binance, learn about crypto, and earn rewards.

Get involved in our Quest To Earn challenge today to earn up to $60 in #BNBMore details here  https://binance.com/en/activity/mission/quest-to-earn?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",727,729,1.8K
@cz_binance,2023-10-03T07:10:26.000Z,#Binance Aids Royal Thai Police in Crackdown on Criminal Networks |  Blog,617,755,3.2K
@cz_binance,2023-10-02T15:09:08.000Z,Have you used this feature on ?,1.3K,1.1K,6K
@cz_binance,2023-10-02T15:10:05.000Z,It's a direct screenshot from a demo of the Binance web interface. Not a photoshop or post marked image.,165,65,492
@cz_binance,2023-10-02T08:15:19.000Z,Enough said about his new book... ,493,328,2.1K
@cz_binance,2023-10-02T07:18:49.000Z,“The guys who held last week were so lucky!” ,761,604,4.1K
@cz_binance,2023-09-30T10:21:21.000Z,"Binance v. SEC: Paradigm Files Amicus Brief, Accuses SEC Of Regulatory Overreach",765,1.3K,4.6K
@cz_binance,2023-09-29T16:43:43.000Z,Applies not only to X. ,571,677,4.5K
@cz_binance,2023-09-29T15:21:15.000Z,"月圆·币圆·人团圆

祝全球华语用户们，中秋佳节愉快！

送出一份 #Binance 键盘套装，希望大家可以hodl住幸福和快乐。

留言晒出你的月饼 / 灯笼 -
Giving away this #Binance keyboard for Mid Autumn Festival.

Show me your mooncake or lantern to enter.",642,373,1.9K
@cz_binance,2023-09-29T15:21:35.000Z,Pic by .,62,39,202
@cz_binance,2023-09-29T15:21:15.000Z,T&Cs apply: https://ter.li/o59m4r,46,37,130
@cz_binance,2023-09-29T13:17:38.000Z,"Our Chinese and Arabic ancestors figured out crypto. They both made MOON festivals! And they both land on today.

中秋快乐！",726,743,4.1K
@cz_binance,2023-09-29T13:13:41.000Z,Happy Mawlid al-Nabi! ,1.4K,2.4K,15K
@cz_binance,2023-09-29T12:13:41.000Z,Fixed. Thank you for your patience and support. ,325,279,2K
@cz_binance,2023-09-29T08:37:11.000Z,This is a display ONLY issue. Trading not affected.,358,322,1.6K
@cz_binance,2023-09-29T08:30:38.000Z,"Root cause identified, some new code caused it. Need to revert and fix data.

Engineers say 1hr ETA for fix. So, expect 2hr or so. ",309,396,1.6K
@cz_binance,2023-09-29T08:23:14.000Z,"Futures Kline (chart) display issue on BTCUSDT. The UI aggregated Kline has issue, the raw Kline via api is working fine.

Trading not affected.

Team is fixing.",536,462,2.8K
@cz_binance,2023-09-29T08:26:18.000Z,Raw Kline is fine: https://fapi.binance.com/fapi/v1/klines?symbol=BTCUSDT&limit=500&interval=5m…,54,51,335
@cz_binance,2023-09-29T08:26:37.000Z,UI composite Kline has issue: https://fapi.binance.com/fapi/v1/continuousKlines?pair=BTCUSDT&contractType=PERPETUAL&interval=1m&limit=1000…,49,49,297
@cz_binance,2022-09-10T16:49:23.000Z,Happy Mid-Autumn Festival!,1.4K,832,6.7K
@cz_binance,2023-09-29T08:07:20.000Z,When you give interns access to your X account...,328,89,1.1K
@cz_binance,2023-09-28T08:54:38.000Z,"Got it as a gift from our local partner in Malaysia on that day. I posted a picture from this event before, with that shirt, on that day.  The only time I wear that shirt, also the only time I met with Gatita. But I have a feeling this photo will follow me around for a bit.",211,100,535
@cz_binance,2023-09-28T07:37:36.000Z,This is an important announcement impacting some EUR / Paysafe users. There should also be replacement fiat channels going live soon. Please stay tuned. Important Updates for Paysafe Users | Binance Support,698,906,3.7K
@cz_binance,2023-09-28T07:17:18.000Z,"Some answers about Binance/CommEx.

There will be crypto transfers between Binance & CommEx as users migrate with their funds. There are also older transactions during the testing phase of the integrations. This is expected.

A few ex-Binance CIS team members may join their team,…",509,516,2.5K
@cz_binance,2023-09-27T19:59:49.000Z,"Don't believe people when they show a selfie and say they are close to CZ or Binance, etc. I am not a networker, and have a very small number of close friends. I do take a LOT of selfies with people.

I have probably taken selfies with more than 10,000 people so far.

At events,…",949,817,6.2K
@cz_binance,2023-09-27T17:48:16.000Z,"Crypto is great for many things, including travel.

Keep pushing adoption. #Binance",32,359,2.1K
@binance,2023-09-27T12:09:53.000Z,"We think you deserve that trip.

Celebrate World Tourism Day with a vacation paid for with crypto.#TravelWithBinance today! ",475,704,1.9K
@cz_binance,2023-09-27T08:27:15.000Z,"Everything will be done to ensure a smooth transition. All user funds are safe!

Also:

Among other things, #BNB holders will continue to enjoy a 25% trading fee discount on .",603,816,3.1K
@cz_binance,2023-09-27T08:20:10.000Z,One step at a time.,363,290,1.7K
@cz_binance,2023-09-26T20:29:26.000Z,WSJ called SBF a savior... ,1K,890,5.8K
@cz_binance,2023-09-26T20:38:11.000Z,The screenshot was taking just a minute ago. Not a saved image. Source:,209,133,982
@cz_binance,2023-09-26T20:15:22.000Z,"Too lazy to even post 4.

Focus on building.",1.4K,1K,7.4K
@cz_binance,2023-09-26T15:33:14.000Z,"We're Still the Most Compliant Crypto Exchange Today: Binance's New CMO Sheds Light On Its Urgent Challenges (Exclusive)

Another interaction with CryptoPotato (inside joke).",593,718,2.9K
@cz_binance,2023-09-26T12:45:34.000Z,Education.#Binance Academy Notes 62% Increase in Usage Led by Learners from Emerging Markets,456,504,2.2K
@cz_binance,2023-09-26T08:28:14.000Z,"More stablecoins coming.

Binance Japan partners with MUFJ on stablecoin development",928,1.2K,5.9K
@cz_binance,2023-09-25T15:22:16.000Z,"Another hack happened yesterday with Mixin. I am not familiar with it. It was hard to understand.

A ""decentralized peer-to-peer network"" had a ""database"", which when hacked, can lose half of the users' assets...

Not everything that claims to be decentralized is.

Stay #SAFU",835,918,3.7K
@cz_binance,2023-09-25T15:13:33.000Z,"A week after you rename your exchange after FTX... Jokes aside, our security team will help in tracking hacker funds in all cases where we can.",888,782,5.2K
@cz_binance,2023-09-25T14:12:27.000Z,"The strength of your hand, is determined during a dip.",688,997,6.3K
@cz_binance,2023-09-24T15:07:16.000Z,Over a million people use #BNB Chain every day.,2.1K,1.7K,9.1K
@cz_binance,2023-09-23T21:37:14.000Z,If markets are predictable it would cease to be markets and be without profits.,583,674,2.9K
@cz_binance,2023-09-23T21:37:15.000Z,"Copied/adapted , from:

If life were predictable it would cease to be life and be without flavor. - Eleanor Roosevelt",146,275,1.3K
@cz_binance,2023-09-23T21:31:58.000Z,"If you want to ""buy low, sell high"", then you have to act accordingly when it is low.

Not financial advice. I also don't recommend this strategy for most people. DCA then Hold is simpler.",1.6K,2.1K,9.6K
@cz_binance,2023-09-23T16:16:52.000Z,Feed from KOLs now appear directly on http://Binance.com homepage. Rolling out to all languages soon.,645,551,2.6K
@cz_binance,2023-09-23T15:54:04.000Z,Fuddlers don't work on weekends. ,1.4K,914,5.8K
@cz_binance,2023-09-22T15:53:32.000Z,"If you want a coin to be listed on , read this ",3.5K,2.1K,7.3K
@cz_binance,2023-09-22T13:38:16.000Z,I am stable. ,670,308,2.3K
@cz_binance,2023-09-22T13:27:14.000Z,The new Elon Musk book by Walter Isaacson is pretty good.,615,551,4.5K
@cz_binance,2023-09-22T13:27:52.000Z,"Interesting to learn that Elon uses a ""hardcore"" value. I didn't know that before, and we use the same word from 6 years ago. Admittedly, his hardcore seems to be more hardcore than ours. ""Revolutionizing industries is not for the faint of heart.""

He can tolerate rockets blowing…",136,164,820
@BinanceVIP,2023-09-21T08:05:54.000Z,"We're pleased to announce , partner at Fasanara Capital, as our next guest on #Binance VIP Voices.    September 28 17:00 UTC  https://linkedin.com/events/binancevipvoicesep-2withnikitaf7110461970515992576/theater/…",197,200,620
@cz_binance,2023-09-21T15:07:21.000Z,Binance Brings Law Enforcement Expertise to Hong Kong International Symposium on Cyber Policing | Binance Blog https://binance.com/en/blog/ecosystem/binance-brings-law-enforcement-expertise-to-hong-kong-international-symposium-on-cyber-policing-3815824125081248102…,755,764,3.2K
@cz_binance,2023-09-21T13:21:30.000Z,"The top menu on http://Binance.com has changed a bit. It's simpler now. 

The fact that no one complained about the change probably means we should have done it much sooner.

Keep building.",820,656,5K
@cz_binance,2023-09-21T13:18:07.000Z,"Who did this?

(I was not there. I don't even know where it is. When you give free rein to Interns...  )",903,717,4.5K
@cz_binance,2023-09-20T10:20:58.000Z,"The amount of wrong information is just...

They got the direction wrong. I loaned $250 million to BAM a while back, not the other way around. And have not taken it back. ",1.4K,1.5K,7.8K
@cz_binance,2023-09-20T20:54:23.000Z,They fixed the article now. I was told. ,232,88,729
@RachelConlan,2023-09-20T05:42:54.000Z,"For bringing crypto to the next billion people, #Binance is the place to be.

I’m incredibly excited and humbled to take on the role of CMO, alongside a world-class marketing and executive team that always puts users first.

Let's keep building!",491,364,1.4K
@cz_binance,2023-09-20T10:07:51.000Z,"Exercise caution when using DEX, or crypto in general. Stay #SAFU. ",583,692,3.1K
@cz_binance,2023-09-19T12:51:51.000Z,"For the record. Binance US does not use, and have NEVER used Ceffu or Binance Custody.

You can't just make this stuff up. ",1K,1.2K,6.3K
@binance,2023-09-18T16:04:00.000Z,"Last week was busy to say the least!
 
It was amazing to meet up with all of you for  and the Grand Prix.
 
Let's do it again at #BinanceBlockchainWeekDon't miss out  https://ter.li/GetYourTickets",301,333,1.2K
@seedmasterR,2023-09-18T18:28:39.000Z,Seems like they can’t find anything but they want to continue making headlines,112,110,659
@cz_binance,2023-09-18T16:31:29.000Z,"How can I get these? 

The interns sends me pics to tweet, but not the actual merchandise… ",1.8K,1.2K,7.3K
@cz_binance,2023-09-18T08:19:22.000Z,"Very true! The saying:

You never get criticized by the people who do more than you; you only get criticized by people who do less.",306,360,2.1K
@cz_binance,2023-09-18T08:09:03.000Z,"Guess what? You can be criticized when you donate $3 million dollars worth of crypto after an earthquake.

While we got overwhelming positive feedback from our users about the donation (as seen in the quoted tweet), and while the issues raised are typically from traditional…",1.1K,1.2K,7.2K
@cz_binance,2023-09-17T16:46:30.000Z,You may not know the origin of the #Binance logo.https://medium.com/binanceexchange/are-you-committed-enough-to-tattoo-ef2085b0aed5…,1.3K,897,6K
@cz_binance,2023-09-17T17:07:35.000Z,"Not sure why, but I like this ceiling light. ",199,151,1.1K
@cz_binance,2023-09-17T09:18:04.000Z,"Not sure why, but I like this ceiling light. ",967,577,5.2K
@cz_binance,2023-09-16T08:55:44.000Z,"Mark Cuban Confirms Getting Hacked for $870K on MetaMask. This happens to the most experienced of crypto users.

Read this article I wrote 3 years ago. There is a section about downloading software, wait 72 hrs, etc.

Stay #SAFU",1K,1.8K,6.4K
@cz_binance,2023-09-16T08:57:08.000Z,"Even or especially when you manage your own wallet, there are many more security procedures you need to follow. The article above covers some of the basics.",183,128,831
@cz_binance,2023-09-15T20:48:15.000Z,"Not a bad meme... Out of my 20+ direct reports, only 1 left in the past year.

Moreover, while many of our ex-team members are very strong, change is not always a bad thing (even when a strong person leaves). We keep our teams dynamic to increase growth opportunities. ",201,139,979
@cz_binance,2023-09-15T20:30:49.000Z,I love it when people give great book recommendations. ,1.4K,539,4.5K
@cz_binance,2023-09-15T18:23:48.000Z,"There has been some speculation regarding recent management changes at . Brian Shroder is taking a deserved break after accomplishing what he set out to do when he joined two years ago. Under his leadership, http://Binance.US raised capital, improved its product…",923,1.4K,6.6K
@BinanceVIP,2023-09-14T14:40:19.000Z,"#Binance VIP Voices, our AMA series with industry leaders, is back!

Next episode we'll explore how quant funds try to outperform current market conditions. Share your questions to win exclusive VIP merchandise.

To enter:  Retweet & follow Comment your questions",163,180,565
@NoahBPerlman,2023-09-15T13:48:37.000Z,"In our latest blog, we take a look at market manipulation -- what it is and how #Binance takes steps to identify and combat it.",194,819,1K
@balajis,2023-09-14T05:08:27.000Z,Just finished up with CZ at .,245,200,2.2K
@_RichardTeng,2023-09-14T08:46:34.000Z,Onstage with Pierre Gasly at TOKEN2049 for our fireside chat. Good luck for this weekend’s race Pierre #Binance #Alpine #PierreGasly,215,187,758
@binance,2023-09-14T03:45:59.000Z,"It's the second day of ! 

We have a day of fireside chats lined up, starting with 's virtual chat with .",341,395,1.4K
@cz_binance,2023-09-13T19:56:29.000Z,"Rachel has been with  for a while, and is a veteran in crypto before joining us. She has been driving many of our marketing initiatives for some time already. Please welcome her to her new role. I have high expectations. ",573,493,3.3K
@cz_binance,2023-09-13T16:21:56.000Z,,666,608,3.4K
@cz_binance,2023-09-13T13:25:15.000Z,"Fast, scaleable, and super-low fees.

Let's build real world applications that require billions of messages/events per day. #BNB",631,920,4K
@BNBCHAIN,2023-09-13T10:30:27.000Z,"Today, we're launching the opBNB mainnet!

Our Layer 2 solution is now fully released to the public, allowing for lightning-fast transactions and super-low fees! Let's dive deeper into the incredible benefits this brings to BSC [1/6]https://bnbchain.org/en/blog/bnb-chains-l2-opbnb-mainnet-goes-live/…",3.3K,116K,27K
@binance,2023-09-13T09:19:24.000Z,"Our Head of Law Enforcement Training, Jarek Jakubcek, recently received a Certificate of Appreciation from  at their International Symposium on Cybercrime Response event.

We look forward to collaborating further with them, and other law enforcement agencies worldwide!",273,329,1K
@cz_binance,2023-09-13T09:01:17.000Z,"Joining a session at Token 2049 virtually, not in person. ",872,480,3.3K
@binanceafrique,2023-09-12T21:17:20.000Z,"De 888 ETH à 0,63 ETH.

Le coût d'un nouvel iPhone au cours des 8 dernières années.

Cliquez sur le bouton like pour voir ce qui se passe   #AppleEvent",154,143,736
@WalkerAmerica,2023-09-12T14:29:00.000Z,"Shoutout to  for putting #Bitcoin price in perspective and clearly being fed up with anyone who ignores that “it’s outperformed every asset on the 1 year, 5 year, and 10 year.”",166,512,2.4K
@cz_binance,2023-09-12T19:21:42.000Z,"Need a ""to scale"" version of this image.  ? ",397,527,2.5K
@cz_binance,2023-09-12T15:58:10.000Z,One more donation today. Stay strong Libya ,947,1.3K,6.7K
@cz_binance,2023-09-12T08:46:56.000Z,UM Futures affected. CM seems to be ok. Our team is fixing.,469,302,2K
@cz_binance,2023-09-12T08:42:09.000Z,Experiencing a tech issue on futures. Our team is on it. ,894,763,5K
@cz_binance,2023-09-11T19:00:00.000Z,"Our hearts go out to the people in Morocco#Binance to donate $3,000,000 in #BNB to our users in MoroccoWe standby our users in times of need. Stay strong. ",2K,3.5K,17K
@cz_binance,2023-09-11T19:01:16.000Z,I personally visited Morocco twice in the past year. Loved every bit of it. It's so sad to see this tragic event.,251,206,2.7K
@cz_binance,2023-09-11T15:12:29.000Z,. swap supports 9000 tokens.,1.2K,1K,6.1K
@binance,2023-09-09T19:00:01.000Z,"The countdown is on Exactly 60 days from now, we'll be bringing together all of you, our community, alongside industry leaders and experts at the #BinanceBlockchainWeek Istanbul.

Don't wait - grab your tickets now! https://binanceblockchainweek.com/?ref=BBW2023&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=BBW2023…",359,352,1.8K
@cz_binance,2023-09-10T15:20:54.000Z,Or split up the big exchanges. Splitting up liquidity is not good for users. They get worse prices. Tradeoffs. Something to think about. ,550,402,1.9K
@cz_binance,2023-09-10T08:23:26.000Z,Reminder to use hardware 2FA (Yubikey) for all crypto platforms.,482,496,2.5K
@cz_binance,2023-09-10T08:18:02.000Z,"Vitalik's Twitter account got hacked. Use common sense when reading content on social media, even from large KOLs.

Twitter's account security is not designed as financial platforms. It needs quite a bit more features: 2FA, login id should be different from handle or email, etc.…",1.1K,1.7K,6.5K
@BinanceTR,2023-09-09T06:58:35.000Z,"Türkiye'nin lider yerel kripto varlık platformu #BinanceTR3Yaşında#Binance TR olarak, başarılar ve yeniliklerle dolu bir yılı daha geride bırakmanın mutluluğunu yaşıyoruz.

Sizlerle birlikte büyümeye ve gelişmeye devam ediyoruz. Beraber daha nice yıllara!",209,352,883
@cz_binance,2023-09-08T09:01:41.000Z,The Apple iOS/iPadOS 16.6.1 updates today includes a security patch to an iMessage vulnerability that allows remote code execution WITHOUT ANY INTERACTIONS from the victim. It is being exploited in the wild by the Pegasus threat group already. Update immediately. Stay #SAFU.,875,1.7K,5.9K
@cz_binance,2023-09-08T08:29:12.000Z,Galileo didn't have X. ,799,599,3.6K
@cz_binance,2023-09-07T22:35:52.000Z,"1. Education.#Binance is now on Megogo, one of Ukraine’s biggest media platforms. bringing crypto education to the masses. ",30,403,1.8K
@cz_binance,2023-09-07T20:16:07.000Z,"Saw some debates in the community. When you do the right thing, and there is FUD, you don't have to do anything. The community defends you.

Let me summarize. There have been a lot of negative news/rumors, bank runs, lawsuits, closing of fiat channels, product wind downs,…",1.5K,1.6K,8.8K
@0xmrvik,2023-09-07T10:55:10.000Z,"I have seen many #Binance haters creating FUD in order to gain followers. Just want to ask, have you come across anyone who was or currently not able to redeem #BUSD ? More than 20b$ #BUSD have been redeemed whereas  #FTX failed while paying 8b$, still calling both the same",172,162,893
@cz_binance,2023-09-06T22:20:57.000Z,"#Binance Charity

Revolutionizing Charity: How Crypto is Making a Difference

This education aspect ... as organizations are not only providing fish but teaching people how to catch their own. Recipients have access to a new financial system forever.",1.2K,1.5K,3.4K
@kidsreallycute,2023-09-06T09:19:13.000Z,"thanks       I was refunded by binance for the amount of money scammed by $xirtam, thank you for ensuring safety in cryptocurrency, wish everyone binance and those who received refunds a good day",131,195,476
@cz_binance,2023-09-06T12:34:02.000Z,"Some of our team members are growing into bigger roles, some outside of #Binance. Some are doing new exciting ventures. I even made intros/references for many of them. We are supportive of everyone. We are one community.

This also creates more growth opportunities within…",1.3K,1.2K,6.7K
@hypnogaba,2023-09-06T07:22:18.000Z,"My experience with  .

Now, as always in recent years, the world's largest crypto exchange is getting a lot of fud. Not only regulators are trying to limit the possibilities for DEXes (and users in the end), but also entire countries in one form or another are trying to…",241,160,872
@cz_binance,2023-09-05T19:34:02.000Z,"phew… saved.  Don’t believe in a photoshopped image, guys. 4",1.1K,1.1K,5K
@cz_binance,2023-09-05T10:18:45.000Z,Looking forward to this (virtual) chat with  next week at .,34,302,1.5K
@cz_binance,2023-09-04T20:47:58.000Z,. is a cool dude. ,676,548,3.2K
@binance,2023-09-04T12:00:55.000Z,"The moment you've all been waiting for. Ronaldo vs the lie detector.

Watch it now on #Binance Youtube ",516,711,2.3K
@Sarsher_,2023-08-30T17:35:34.000Z,New box from Binance#binance #binanceturns6 #cz #binanceangel,176,144,815
@cz_binance,2023-09-04T07:31:40.000Z,,1.4K,1.2K,15K
@cz_binance,2023-09-03T20:28:26.000Z,"“it is difficult to get a man to understand something, when his salary depends on his not understanding it.” - Upton Sinclair",1.1K,1.5K,7.8K
@binance,2023-09-02T16:01:12.000Z,Merhaba Türkiye! Later this year we're taking Istanbul into the future. Join us for the ride at #BinanceBlockchainWeek in November.,688,918,4.2K
@cz_binance,2023-09-02T09:43:50.000Z,"Bitcoin is traceable.

Cash is not.",3.9K,3.8K,23K
@bsc_daily,2023-09-01T11:22:34.000Z," Remarkable Newcomers on #opBNB Chain in August opBNB is gradually gathering potential and outstanding projects both inside and outside the #BNBChain ecosystem ahead of the upcoming official mainnet No matter what the market is like, real builders will #BUIDL ",254,281,872
