Handle,Timestamp,Content,Comments,Retweets,Likes
@sonhbps07219,2023-10-25T03:30:15.000Z,"so ... 4/13  is partner/backer  of $TRON and ready for BTC ETF :)) 
when $TRX  ETF  ",24,12,47
@stusdt,2023-10-24T08:52:34.000Z,"#stUSDT still holding strong at the top of the #RWA category and has reached the 7th position in TVL among all DeFi protocols!Keep an eye on http://stusdt.io as we continue to grow stronger.

Source: ",6,12,50
@trondao,2023-10-24T21:03:39.000Z,"When it comes to #stablecoins, #USDT accounted for 80% of weekly active addresses. As of H1'23, there were 3.9M weekly active addresses on #USDT with 2.4M on the #TRON network. Read more: https://digify.com/a/#/f/p/ef09be008ee64ab68bda4f0a558302a2…",30,43,164
@iam516tv,2023-10-25T03:02:34.000Z,"something nobody ever talks about$TRX never had a bear market

if you bought Tron in Nov 2021 when BTC topped out, you'd only be 10% down on your investment rn

thats insane",33,33,151
@trondao,2023-10-24T19:06:30.000Z,"Time for a look at some data brought to you by !  As of October 22nd, here's the data for daily transactions for #TRON and #ETH: #TRON: 4.4M daily transactions #ETH: 981K daily transactions  For more, visit: https://pro.nansen.ai/multichain/eth-vs-tron…",17,42,133
@paoloardoino,2023-10-23T13:49:00.000Z,84B $USDt,67,64,504
@justinsuntron,2023-10-24T15:23:52.000Z,"Tune in virtually to  in Dec.

Let’s build for a decentralized future together. ",83,63,219
@trondao,2023-10-24T08:22:33.000Z,. is diving deep into “RWA - Unlocking Value in the Digital Age” in his virtual keynote! And guess who’s all ears? Our very own #TRONBull is tuned in! Swing by the  booth (P25) at . Let’s unite and #BUIDL towards a brighter tomorrow. ,46,40,168
@justinsuntron,2023-10-24T03:57:57.000Z,#BTC 的价格可能要修改了 ,124,40,249
@tusdio,2023-10-23T08:56:12.000Z,"Regarding the Address (0x7bA7EF06A2621267f063eF2DB2d482D5B507D8b3)

We want to clarify that this address has NO permissions over TUSD smart contracts; it was exclusively designated for token deployment.",18,25,60
@hosseeb,2023-10-16T16:52:52.000Z,"Pay attention to TRON.

It's the single largest chain for USDT settlement today. It just hit a local ATH for TVL. According to DeFiLlama, Tron has more daily active addresses (1.44M) than any other blockchain TRON: 1.44M
BSC: 1.01M
ETH: 336K
MATIC: 309K
ARB: 101K  
SOL: 75K",67,65,221
@stusdt,2023-10-21T17:09:06.000Z,"Total #stUSDT TVL has reached 2.28B USDT and offering an APY up to 4.73%!TVL on #TRON: 2.21B USDTTVL on #Ethereum: 72.5M USDT

Grab your rewards here: http://stusdt.ioAppreciation to all ",35,86,125
@justinsuntron,2023-10-21T04:54:01.000Z,命运的齿轮开始转动,274,291,642
@apenftorg,2023-10-19T10:42:32.000Z,Read more from :https://bloomberg.com/press-releases/2023-10-17/justin-sun-showcases-premier-art-collection-at-giacometti-s-le-nez-exhibition-in-paris…,38,35,124
@trondao,2023-10-19T14:07:14.000Z,"Dive into  's insightful analysis on the rise of #stablecoins.

If you're a #TRONICS, it's a must-read!

Explore the full thread here: https://twitter.com/TheChicagoVC/status/1694001412919971848…Here are our takeaways ",31,29,98
@justinsuntron,2023-10-20T07:32:56.000Z,"Ahead of my time, as usual. Catch you guys at 2:15pm SGT. ",84,48,272
@MoStarDev,2023-10-19T11:38:51.000Z,"USDT on #Tron ($43.8B) is close to that of ETH's ($39B).

However, on Tron it serves a purpose beyond just being a store of value.

It plays an integral role in the daily transactions and lives of millions of people worldwide.

USDT transactions by month - ETH & Tron  On.",35,40,103
@paoloardoino,2023-10-19T20:40:24.000Z,"PSA: 1B USDt inventory replenish on Tron Network. Note this is a authorized but not issued transaction, meaning that this amount will be used as inventory for next period issuance requests and chain swaps.https://tether.to/explained-chain-swaps/…",48,35,157
@whale_alert,2023-10-19T20:38:52.000Z,"           1,000,000,000 #USDT (1,000,999,999 USD) minted at Tether Treasuryhttps://whale-alert.io/transaction/tron/c9b0835b6d84ddae1308675bdf987187882a62022afcb5deb3ba664118b90e34…",221,553,1.7K
@ChangeNOW_io,2023-10-12T14:21:29.000Z,"Looking for a stablecoin that respects your privacy and security?  and ChangeNOW offer a seamless experience. With a focus on security, transparency, and legal protections, your digital assets are in good hands.

Dive deeper into #TUSD:",19,17,99
@justinsuntron,2023-10-19T11:04:35.000Z,우리 트론 한국 커뮤니티와의 대화를 즐거워합니다!,109,20,167
@justinsuntron,2023-10-18T16:49:01.000Z,I always remind myself not to be too centered on one specific area when building blockchain products. The greatest advantage of blockchain lies in its ability to provide global services. We are developing products with the aim of serving everyone around the world.,74,68,429
@justinsuntron,2023-10-18T16:49:21.000Z,"In the end, blockchain shares the same core value as the internet: connecting people worldwide. While we may have cultural differences, the fundamental values we share, such as security, transparency, and efficiency, are universal.",20,6,67
@justinsuntron,2023-10-18T16:49:38.000Z,Our focus is on these shared values as we build products to serve the entire world.,30,5,76
@justinsuntron,2023-10-18T16:33:05.000Z,"I believe in a multichain future. I don't see Tron and Ethereum as rivals at all. HTX is supporting numerous Ethereum projects. I believe that no single blockchain can cater to the diverse needs of everyone on Earth, as the demand vary greatly across the globe.",152,144,699
@justinsuntron,2023-10-18T16:33:32.000Z,Our commitment remains to focus on delivering the best solutions we can and to embrace every promising project in the blockchain space.,33,6,67
@BitgetWallet,2023-10-18T07:30:53.000Z," #NewDegen2023 On-Chain Trading Competition is LIVE! Ready to participate or assemble your squad?https://bit.ly/3QlXRPC Big shout out to  and  for elevating our event! Now, with #BitgetSwap and our #SunSwap integration, enjoy streamlined trading…",34,23,82
@hasufl,2023-10-17T10:35:32.000Z,Stablecoin transfers are crypto's killer use case so far -- and surprisingly not on Ethereum,50,43,236
@justinsuntron,2023-10-18T15:49:38.000Z,"#TRON leads the world in stablecoin transactions and daily active users, as reported in ""The Relentless Rise of Stablecoins."" We're committed to expanding our stablecoin offerings and supporting global stablecoin projects. #TRX",109,93,403
@TheChicagoVC,2023-08-22T14:59:44.000Z,"""The Relentless Rise of Stablecoins"" is the result of hundreds of hours of onchain stablecoin analysis. 

Download here: https://lnkd.in/gz7QBdjJTop 10 takeaways below.",37,210,535
@TRONSCAN_ORG,2023-10-18T05:00:00.000Z,The current Market Cap of $TRX reached $7.9B.,20,24,110
@SebVentures,2023-10-17T10:28:29.000Z,"Let that sink in.
Great paper.",36,66,208
@binance,2023-10-18T07:16:55.000Z,"Over the next few hours #Binance will perform wallet maintenance on the Tron network.

As a result, you might notice some large transactions from our $TRX hot wallet.

Rest assured, as always, funds are SAFU.",360,321,1.3K
@trondao,2023-10-16T05:04:36.000Z,"We've hit 190 MILLION total accounts, #TRONICS! It's all about the teamwork and progress. As always, just keep on #BUIDLing! ",37,43,196
@luganodes,2023-10-17T15:19:09.000Z,"1/
Over the past few weeks,  has achieved some impressive milestones, averaging close to 5M+ daily transactions. The #TRON network is booming with a total of 6.5bn+ transactions & 2.9mn+ smart contracts deployed!  Let's explore the latest developments",20,26,77
@justinsuntron,2023-10-17T13:52:04.000Z,"I’ll be joining virtually for  2023 in Dubai! Topic: RWA: Unlocking Value in the Digital Age Date & Time: Oct 24, 2:45pm SGT

Catch you guys there! ",123,62,318
@trondao,2023-10-16T18:05:56.000Z,"If you missed our space with , you can still listen below! Hear some cool personal stories about how people are using the #TRON network to bridge the gap between #Web2 and #Web3. ",18,26,108
@trondao,2023-10-16T19:06:45.000Z,,31,13,63
@trondao,2023-10-16T21:03:01.000Z,"Our integration with 's #BigQuery is a game-changer.  With powerful data analysis capabilities, this partnership offers real-time insights into #TRON's on-chain activities. Explore our network like never before!  : https://data-bourse.lefigaro.fr/communiques/-DE/1196575…",114,53,192
@baixiaosheng123,2023-10-17T05:56:43.000Z,"币安等交易平台的 #稳定币 活期理财收益也太低了，年利率几乎都在3%以下，跑不赢银行利率和通胀，其中还有奇葩的什么双币理财、鲨鱼鳍感觉就不是正常人玩的，抛开交易所，单纯从TVL体量来看，目前收益还不错的有：

1.换成DAI存进MakerDAO

2.相信孙哥，换成USDD存进JustLend…",40,10,45
@TokenPocket_TP,2023-10-16T07:54:09.000Z,"TokenPocket now fully supports WalletConnect V2 for !   Users can seamlessly connect their  wallet to  DApps by simply scanning the #WalletConnect QR code or selecting the WalletConnect option.

Simplify your wallet connections…",30,36,98
@tusdio,2023-10-16T13:05:39.000Z,TUSD team was informed by TrueCoin that they received a third-party vendor's notification that the vendor’s Security Team detected “an anomalous account change within [TrueCoin’s] organization made by a compromised support vendor.”,105,49,124
@justinsuntron,2023-10-16T13:40:36.000Z,#Bitcoin ETF?,344,123,990
@paoloardoino,2023-10-13T12:02:40.000Z,"I'm truly excited and humbled to take the role as CEO at #Tether.
During my journey, started in 2014 with Bitfinex and later in 2017 at Tether, I had the opportunity to meet wonderful people, that became great friends and a family. And as a family we achieved incredible results.…",614,267,2.4K
@trondao,2023-10-12T20:04:55.000Z,"#TRON was added to ’s #BigQuery datasets.   Seamlessly analyze #TRON data with #BigQuery Real-time data insights Continuous improvement for accuracy

Read more about this from : https://theblock.co/post/255567/tron-added-to-google-clouds-bigquery-public-blockchain-datasets…",113,56,189
@trondao,2023-10-04T21:03:28.000Z,"We have an upcoming space with !Come join the conversation about using #crypto in everyday life.  What if the world was your marketplace?  October 13th 6am PT / 9am ET

Set a reminder: https://twitter.com/i/spaces/1lPJqbrjygbxb…",35,66,177
@trondao,2023-10-13T03:59:59.000Z,"Curious on #TRONNetwork's milestones and our dedication to progress in #Web3? Throwback to when  chatted with  about the #TRONNetwork expansion and our approach to #Web3.

Watch the full discussion here https://youtube.com/watch?v=umucB98EefQ…",52,38,141
@stusdt,2023-10-12T07:05:15.000Z,"Total #stUSDT TVL has reached 1.83B USDT and offering an APY up to 4.80%!TVL on #TRON: 1.76B USDTTVL on #Ethereum: 72.1M USDT

Grab your rewards here: http://stusdt.ioAppreciation to all",71,13,55
@symbiosis_fi,2023-10-11T08:30:02.000Z,"We're damn thrilled to announce Symbiosis is backing Tron  starting from today! #TronNow, you have the power to swap into TRON and out of it. All swaps are lightning-fast, seamless, and at killer rates. Give it a whirl right now: https://app.symbiosis.finance/swap 

Big thanks…",76,132,230
@trondao,2023-10-11T04:01:09.000Z,"The #TRONNetwork is nominated for ""Layer-1 of the Year"" at 's! To celebrate with our #TRONICS, we're hosting a special event on . Details here:  https://taskon.xyz/campaign/detail/12773…PLEASE NOTE: U.S. Persons are NOT Eligible to Participate.",234,3.4K,997
@stusdt,2023-10-10T09:38:20.000Z,"Check out the Snapshot of #stUSDT Rebase from October 10th

TRON network:
Total stUSDT Staked: $1,713,985,005.22
Today’s Rebase Amount: $214,123.86

ETH network:
Total stUSDT Staked: $72,116,632.67
Today’s Rebase Amount: $8,792.85

Get full updates via Medium:…",45,18,62
@justinsuntron,2023-10-10T10:58:59.000Z,"Giacometti’s 1964 “Le Nez”, part of my collection, is on display at Institut Giacometti, Paris.In collab with , , the Giacometti Foundation,  & , discover Giacometti’s iconic nose.Display until Jan 7, 2024

Details https://fondation-giacometti.fr/en/press",121,341,469
@stusdt,2023-10-10T04:37:46.000Z,"Get an up to 4.66% on USDT Staking APYs with #stUSDT! TRON: 4.66% Ethereum: 4.55%The campaign has started already, head over here to begin staking now: https://rb.gy/ok3am",30,12,42
@cz_binance,2023-10-09T16:42:38.000Z,"In my world:

The more people working on a task, the slower it moves. The less people working on a task, the faster it gets done.",1.7K,1.4K,9.1K
@0xKillTheWolf,2023-10-08T06:36:57.000Z,"3 分钟回顾币圈 10 年历史

整理了从 2013 ~ 2023 的加密货币市值排行榜变化，已将 $BTC 移除，以便能更清楚地看到山寨币之间的竞争与轮替。

本文由火币 #HTX  赞助",178,472,432
@justinsuntron,2023-09-25T14:14:38.000Z,"HTX  has suffered a loss of 5,000 #Eth  ($8 million USD) due to a hacker attack. HTX has fully covered the losses incurred from the attack and has successfully resolved all related issues. All user assets are #SAFU and the platform is operating completely normally.",428,699,2K
@justinsuntron,2023-10-07T16:05:11.000Z,"We have confirmed that the hacker has fully returned all funds, as promised, and we have also paid the hack a white hat bonus of 250 ETH. The hacker made the right choice. We would like to express our gratitude to everyone in the industry for their help!",34,22,103
@justinsuntron,2023-10-07T16:06:57.000Z,"Strengthening blockchain security and protecting user assets is never an easy task, and we have been working tirelessly! Providing full security for user assets is always our goal to strive for! We are thankful for the continued support of our users and community!",40,6,59
@justinsuntron,2023-10-07T16:04:33.000Z,"We have confirmed that the hacker has fully returned all funds, as promised, and we have also paid the hack a white hat bonus of 250 ETH. The hacker made the right choice. We would like to express our gratitude to everyone in the industry for their help!",131,134,746
@justinsuntron,2023-10-07T16:06:15.000Z,"Strengthening blockchain security and protecting user assets is never an easy task, and we have been working tirelessly! Providing full security for user assets is always our goal to strive for! We are thankful for the continued support of our users and community!",28,4,61
@justinsuntron,2023-10-07T10:44:42.000Z,. APY is increasing to 4.7% with unlimited amount.,93,24,178
@justinsuntron,2023-10-07T03:40:28.000Z,"Can’t wait to see Giacometti’s 1964 “Le Nez” at the Institut Giacometti.

Timeless art’s real value = Sharing Thanks to  &  for bridging art and blockchain! Check it out in Paris today!

Details ",152,36,154
@justinsuntron,2023-10-07T03:04:11.000Z,感谢大家鼎力支持，抖音粉丝破40万了，抖音能搞抽奖转发庆祝活动吗？打算把打赏收到的几十万都给粉丝抽奖！,400,71,496
@justinsuntron,2023-10-06T14:53:38.000Z,十分钟之后在抖音直播，搜索孙宇晨进直播间，谈谈艺术品收藏。我个人，波场，APENFT，贾科梅蒂基金会，迪奥，LVMH共同举办贾科梅蒂鼻子特展在法国巴黎当地时间五点开幕特展将持续到明年1月24日，对公众开放！,173,38,216
@justinsuntron,2023-10-06T03:40:00.000Z,"Giacometti’s 1964 “Le Nez” from my collection is set to make a grand debut at the Institut Giacometti.

Though valued at $78.4M, its true beauty lies in the shared experience. Paris, Oct 7th. Stay tuned!",200,46,227
@trondao,2023-10-03T21:03:11.000Z,"#TRON is a nominee for the Blockchain Life Awards 2023!  Cast your votes for us in ""Layer-1 of the Year"" Voting open from Oct 2-16 Vote here: https://blockchain-life.com/asia/en/awards/Your support means the world to us!  Together, we're shaping the future of #blockchain! ",63,39,157
@hongshen6666,2023-10-04T16:05:00.000Z,"孙宇晨为啥能在抖音开直播，而且还各大网红开启合拍模式。这背后有什么呢？会带来什么？
Ht起飞？Trx狂暴牛市？还是火币第二春",103,21,139
@trondao,2023-10-04T22:47:41.000Z," We're honored #TRON &  are nominees for the Blockchain Life Awards!  Cast your votes: TRON: ""Layer-1 of the Year"" Justin Sun: ""Crypto Entrepreneur of the Year""

Let's win these awards together!  Vote now until Oct 16: https://blockchain-life.com/asia/en/awards/",62,42,191
@stusdt,2023-10-04T17:39:34.000Z,We value your votes! Don’t miss out on the voting of the important proposal from  of Adding a Gauge for the stUSDT/crvUSD poolHead over to https://dao.curve.fi/vote/ownership/456… and cast your vote!,18,6,35
@trondao,2023-10-03T06:32:52.000Z,Real #TRONICS be like:,69,23,138
@wanghebbf,2023-10-03T13:02:04.000Z,大型纪录片《孙哥加密传奇》持续为您播出,128,105,177
Nina 小耳朵 @iPollo,2023-10-03T10:20:55.000Z,"这个背包太适合我这种出门东西一大堆的人了 质量贼好 

谢谢   送的 #HTX  十周年限定礼物 

老规矩 在评论区揪个饱饱 和我一起拥有一件随机HTX十周年周边",199,119,264
@justinsuntron,2023-10-03T09:40:43.000Z,首次直播就拿了全站第一，感谢各位朋友给我捧场，以后孙哥会在抖音经常直播，带领大家走向财富自由！,416,78,604
@justinsuntron,2023-10-03T05:41:51.000Z,抖音ID搜索：孙宇晨 或justinsuntron，正在直播，播半小时吧，五年来首播。,184,40,289
@justinsuntron,2023-10-03T03:51:42.000Z,Honda’s now accepting Bitcoin and Ethereum? Guess it’s time to consider a Civic over a Cybertruck! ,136,138,632
@justinsuntron,2023-10-01T09:33:25.000Z,Happy to see #TRX grow in the long term.,163,78,426
@justinsuntron,2023-09-30T17:23:59.000Z,"Curious minds, we want to hear from you!  What factor do you believe has the potential to enhance Tron's decentralization? Share your thoughts and insights below  Let's spark a conversation on the future of #Tron! ",189,92,439
@justinsuntron,2023-09-30T07:31:25.000Z,I'm feeling lucky today!,410,145,1.2K
@justinsuntron,2023-09-30T17:21:31.000Z,"In base you don't know: 8 is the luckiest number in Chinese culture because his pronunciation “Ba” sounds similar to the word “fa”, which means to make fortune.",40,8,57
@justinsuntron,2023-09-29T11:22:26.000Z,每日分红20万U美滋滋，要啥自行车 ,84,25,139
@justinsuntron,2023-09-29T09:56:47.000Z,Happy Mid-Autumn Festival to all! May this special occasion fill your hearts with warmth and your homes with joy. Enjoy the beautiful full moon and the delicious mooncakes with your loved ones. Wishing you all a season of togetherness and happiness. #TRON,109,73,459
@ArkhamIntel,2023-09-28T18:30:15.000Z,"We’re hosting an event with  at SmartCon next week.

Signup: https://lu.ma/TBTBarcelonaSee you there! ",50,85,299
@trondao,2023-09-28T06:11:19.000Z,"ICYMI:  shared the #TRONNetwork's roadmap for #DeFi at . With platforms like , , and the oracle solution ,  is positioning itself at the forefront of DeFi.  Watch now:https://youtube.com/watch?v=nGb47goivFg…",30,54,180
@paoloardoino,2023-09-27T06:58:20.000Z," Switzerland is a great country.
It values privacy and freedom of speech as human rights.

Switzerland will be the promised land of freedom surrounded by a Europe more and more focused on controlling its minions, with mass surveillance tools, feeding misinformation to distract… https://twitter.com/FredericJacobs/status/1706622067431350436…",98,205,1.1K
@justinsuntron,2023-09-29T07:16:42.000Z,"Switzerland: a blend of scenic beauty and tech innovation.

Everyone’s pointing to Lugano as the crypto hotspot, looking forward to diving in and witnessing its evolution in real-time.",51,53,292
@tusdio,2023-09-29T05:02:49.000Z,"Our supply cap just got a boost to 5,000,000 while the borrowing cap has been raised to 4,000,000 on Unlocking greater opportunities for growth and stability! Get ready for new horizons in the world of #finance with #TUSD!Learn Morehttps://app.venus.io/#/governance/proposal/175…",11,20,75
@justinsuntron,2023-09-28T16:21:00.000Z,我抖音辛勤耕耘一年了，慢慢积累36.3万粉丝，在抖音Web3行业算是什么水平，平时刷抖音的同学可以关注一波 ,217,36,353
@trondao,2023-09-27T19:05:22.000Z,"Let's check out some data from  as of September 24th. When it comes to average gas fees, here's how #TRON and #ETH measure up :#TRON: $0.17 average fee#ETH: $1.95 average fee 

Take a look at more data here: https://pro.nansen.ai/multichain/eth-vs-tron…",17,28,134
@klever_io,2023-09-26T17:00:02.000Z,"Unlock endless possibilities with #TRX in Klever Wallet Explore 10+ vibrant #TRON $TRX swap pairs on KleverSwap, tailored for your diverse crypto needs! 

Ready to elevate your swapping experience? ",37,109,298
@TrustlessState,2023-09-26T13:54:16.000Z,"Wow!  a dark horse?

In July
- $60.7m $TRX issued
- $83.2m burnt
= $23m of economic surplus 

Compared to $ETH- $92.7m issued
- $125.9 burnt
= $33.2m surplus

...but ",24,32,114
@HTX_Global,2023-09-26T09:11:08.000Z,"Upcoming X Space!

Join us for an Exclusive Crypto Safety Discussion with Our Stellar Team from #HTX! Hosted by:  and  Special Guest:  

Set Your Reminder ",61,68,170
@justinsuntron,2023-09-26T05:04:24.000Z,"HTX  always prioritizes the security of user assets. I will have an English and Chinese Twitter Space, as well as an HTX live stream at 8pm SGT today 09/26/2023 to discuss exchange security.",110,82,434
@justinsuntron,2023-09-26T05:05:07.000Z,"We have established the SAFU fund to be prepared at all times for losses resulting from platform security issues. Additionally, we have implemented real-time monitoring mechanisms to prevent such losses.",16,4,54
@justinsuntron,2023-09-26T05:05:59.000Z,"Our multi-backup, multi-signature cold wallet system ensures 100% security. Security is an ongoing commitment, and we will continually update and iterate on security measures to ensure that our users' assets remain the safest in the industry.",14,4,45
@laoyu123123,2023-09-25T15:07:01.000Z,这次火币被盗5000枚ETH。 孙哥的反应非常快速，主动提出会承担用户所有损失，别的不说，这次真的很有担当。总的来说火币这波PR搞的不错，用户没有骂，也没用KOL骂。…,97,15,80
@TheBTTCommunity,2023-09-25T15:38:29.000Z,Raise of hand if you have 10M+ #BTT,61,34,209
@Crypto_Dep,2023-09-25T15:14:08.000Z,"TOP 10  dApps by Volume (30d) 
25 September 2023

We present the top dApps on #Tron by volume in the last 30 days, according to the data from .$SUN $JST $BGB $SWFTC $OKB #OKB $JM $TRX #TRX",37,45,83
@justinsuntron,2023-09-25T15:59:25.000Z,"People asked me, ""What does X stand for?"" The correct answer is  's  platform! Haha, I'm just kidding. X stands for 'eXchange.'",79,54,296
@justinsuntron,2023-09-25T14:30:10.000Z,"火币HTX因黑客攻击而损失了5,000个ETH（价值800万美元）。火币HTX已经全额承担了由此次攻击造成的损失，并成功解决了所有相关问题。所有用户资产都是安全的，平台运转完全正常。",214,82,452
@justinsuntron,2023-09-25T14:31:52.000Z,所有资金都是安全的，交易所交易完全正常。我们迅速解决并处理了所有问题，及时将平台恢复到正常状态。,6,2,32
@justinsuntron,2023-09-25T14:42:40.000Z,我们愿意拿出被盗金额的5%（40万美元）作为白帽奖金来鼓励黑客将被盗资金退还，若黑客归还资金，我们也将聘请他为火币安全白帽顾问，若7天内不归还，我们将会将线索移交司法机关介入，对黑客进行惩治。,30,10,43
@justinsuntron,2023-09-25T14:40:53.000Z,"We are willing to offer 5% of the stolen amount (400,000 USD) as a white hat reward to encourage the hacker to return the stolen funds. If the hacker returns the funds, we will also hire them as a security white hat advisor for HTX.",56,61,372
@justinsuntron,2023-09-25T14:41:23.000Z,"If the funds are not returned within 7 days, we will transfer the information to law enforcement authorities for further action and to prosecute the hacker.",40,31,300
@justinsuntron,2023-09-25T14:22:11.000Z,$8 million represents a relatively small sum in comparison to the $3 billion worth of assets held by our users. It also amounts to just two weeks' revenue for the HTX platform.,20,25,203
@justinsuntron,2023-09-25T14:23:17.000Z,"As a result, all funds are secure, and trading operations have continued as usual. We promptly addressed and resolved all issues, restoring the platform to its normal state without delay.",5,3,25
@justinsuntron,2023-09-25T14:22:55.000Z,We detected the hack immediately after the incident yesterday (6pm SGT 9/24/2023) and took swift action to prevent any losses.,8,10,140
@justinsuntron,2023-09-25T04:33:32.000Z,Over 4 million people use the #TRONNetwork every day.,115,81,463
@justinsuntron,2023-09-24T12:01:08.000Z,上海二中院认为：随着互联网技术的发展，以比特币为代表的数字货币具有唯一性和不可复制性，它和Q币等虚拟货币并不相同，其相对稀缺性已得到广泛认可，财产属性无论在社会生活领域还是金融等领域已无法回避。https://mp.weixin.qq.com/s/O2bdq2ZA9ScNyExZZ9JVfA…,93,62,283
@justinsuntron,2023-09-24T12:01:50.000Z,"The Second Intermediate People's Court of Shanghai believes that with the development of internet technology, digital currencies represented by Bitcoin possess uniqueness and non-replicability.",15,12,71
@luckybb88,2023-09-23T15:30:35.000Z,"收到了火币的中秋礼盒！ 
和大家一起开个箱啦
仪式感满满耶你们想要吗？#火币HTX   ",64,13,98
@justinsuntron,2023-09-23T06:20:52.000Z,How to help your friend transition from being a beginner to becoming a skilled break dancer in an instant: Attach a spider mascot to their leg.,99,74,404
@justinsuntron,2023-09-22T10:32:03.000Z,"Great insights from , and #TRON is always delighted to support emerging market users with a cost-effective and decentralized stablecoin solution.",61,55,232
@FortuneMagazine,2023-09-21T13:51:12.000Z,"The cloud provider will also add data on Ordinals, non-fungible tokens minted on the Bitcoin blockchain, to its available datasets.",12,18,61
@justinsuntron,2023-09-22T10:08:37.000Z,I'm happy to see  adding Tron to the BigQuery public datasets. Let's work together to make blockchain data accessible to everyone! #TRON #TRX,77,98,409
@justinsuntron,2023-09-22T03:02:55.000Z,Traffic on HTX  during August is steadily increasing.,108,52,356
@justinsuntron,2023-09-21T06:50:49.000Z,"The Federal Reserve recognizes the potential of asset tokenization & RWA. While advantages like improved liquidity are clear, it’s essential to be mindful of leverage risks. That’s why  remains the go-to choice for me.",90,43,271
@trondao,2023-09-20T06:02:21.000Z," Get a sneak peek, #TRONICS! Talking about the #TRONNetwork with  at .

Stay tuned for the full interview! Teaser ",26,25,119
@justinsuntron,2023-09-20T12:08:34.000Z,用户访谈我看了，很有意思，火币是不少用户进入加密货币的初恋，是家老酒馆，现在我们不仅致力于为每位用户提供行业领先的交易体验，脚踏实地，更仰望星空，期待未来与用户同游太空！,158,28,217
@elephant_crypto,2023-09-19T16:45:51.000Z,"I don’t want to get too excited but looking at the #Tron #TRX chart this thing is ready to pop. While others keep crying a river, Tron is building an empire and steadily climbing the ladder. Yearly high around the corner and new targets along the way ",21,37,183
@justinsuntron,2023-09-19T10:08:41.000Z,有小红书的关注一波，孙哥进军小红书了 ,271,61,433
@justinsuntron,2023-09-19T10:01:28.000Z,1B #USDT on #TRON ,98,96,545
@justinsuntron,2023-09-19T08:07:39.000Z,"Great pleasure to meet with former U.S. Ambassador to Singapore, Kirk Wagar . We discussed regulations in the Web3 world and exchanged insights on the future of Cryptocurrency!",104,62,441
@justinsuntron,2023-09-19T07:56:24.000Z,China's GRE Test for 2023 has chosen a #BitTorrent (#BTT) themed article as the English test topic. 中国考研英语2023年选择了BitTorrent BTT文章作为完形填空 ,92,83,319
@JHX_1138,2023-09-16T15:26:38.000Z,An enlightening  conversation with  moderated by one of my personal heroes Ambassador ,14,14,57
@stusdt,2023-09-18T07:00:27.000Z,"#stUSDT has climbed to the 12th position in TVL among all DeFi protocols!

The strength and growth of the stUSDT will continue to soar! Source: ",16,12,57
@justinsuntron,2023-09-18T06:55:25.000Z,"Giacometti’s 1964 “Le Nez” from my collection is now at Institut Giacometti! For the first time, five versions of this masterpiece stand together. Kudos to  and  for bridging this gap.

See Giacometti’s influence on today’s art.",68,37,235
@justinsuntron,2023-09-18T04:10:13.000Z,". daily protocol revenue has surpassed $200,000. ",49,22,169
